region,region_code,district_code,lga,ward,subvillage
Tabora,14,1,Nzega,Magengati,Tabora Road
Kagera,18,7,Misenyi,Minziro,Mugombe
Morogoro,5,1,Kilosa,Mabwerebwere,Shuleni
Rukwa,15,1,Mpanda,Mbede,Mwamapuli
Mwanza,19,4,Kwimba,Bupamwa,Butikiti
Morogoro,5,4,Ulanga,Ruaha,Noreki
Kilimanjaro,3,3,Same,Kihurio,Misheni
Mbeya,12,2,Mbeya Rural,Ijombe,Mangoto
Tabora,14,1,Nzega,Mambali,Gulyambi
Kigoma,16,1,Kibondo,Busagara,Magarama A
Tabora,14,4,Urambo,Kashishi,Upandya
Shinyanga,17,1,Bariadi,Somanda,Sanungu B
Rukwa,15,1,Mpanda,Shanwe,Makanyagio
Ruvuma,10,1,Tunduru,Lukumbule,Namajani B
Pwani,60,53,Rufiji,Umwe,Msogoli
Iringa,11,5,Ludewa,Lugarawa,Lwavyo Chini
Shinyanga,17,3,Kahama,Kinamapula,Hongwa B
Mtwara,90,63,Nanyumbu,Nandete,Sautimoja
Shinyanga,17,3,Kahama,Chela,Buchambage
Mwanza,19,2,Magu,Mkula,Nyakitulya
Lindi,80,23,Lindi Rural,Nyangao,Muungano
Mara,20,3,Musoma Rural,Nyamimange,Serengeti
Mara,20,3,Musoma Rural,Bukabwa,Kurukangara
Kagera,18,7,Misenyi,Bugorora,Barayawe
Tabora,14,4,Urambo,Itundu,Iorelo
Rukwa,15,4,Sumbawanga Urban,Mollo,Nduwa
Kigoma,16,1,Kibondo,Kumsenga,Kagezi
Manyara,21,2,Hanang,Mogitu,Udamasicheki
Dodoma,1,4,Chamwino,Msamalo,Mgondo
Iringa,11,1,Iringa Rural,Maboga,Zagaza A
Mara,20,3,Musoma Rural,Tegeruka,Mag'Ara
Tanga,4,6,Handeni,Vibaoni,Kwamngoni
Morogoro,5,3,Kilombero,Mchombe,Msesere
Tabora,14,4,Urambo,Kashishi,Nyambula
Lindi,80,53,Ruangwa,Likunja,Namakonde
Iringa,11,4,Njombe,Saja,Kariakoo
Mara,20,4,Bunda,Kisorya,Ccm
Manyara,21,2,Hanang,Mogitu,Gidagawdi
Tanga,4,7,Kilindi,Kwediboma,Mnazi Mmoja
Singida,13,2,Singida Rural,Kinyeto,Njiapanda
Tabora,14,1,Nzega,Lusu,Iponya Madumu
Manyara,21,2,Hanang,Masakta,Bakichani
Mwanza,19,1,Ukerewe,Mukituntu,Kagera
Shinyanga,17,3,Kahama,Chela,Wisengele
Kagera,18,30,Ngara,Nyakisasa,Mayonga
Rukwa,15,1,Mpanda,Sitalike,Magula
Tanga,4,3,Muheza,Lusanga,Kwemkonga
Mwanza,19,4,Kwimba,Igongwa,Kaselia
Kigoma,16,1,Kibondo,Gwanumpu,Runazi
Shinyanga,17,3,Kahama,Lunguya,Inonga
Lindi,8,3,Nachingwea,Mkoka,Mkoka Juu
Kilimanjaro,3,5,Hai,Machame Uroki,Kishimbwr
Shinyanga,17,1,Bariadi,Somanda,Nyamigamba
Dodoma,1,6,Bahi,Babayu,Malech
Tanga,4,1,Lushoto,Shume,Mdina
Rukwa,15,1,Mpanda,Katumba,Barabara 7
Ruvuma,10,1,Tunduru,Muhuwesi,Majengo A
Tabora,14,4,Urambo,Songambele,Mapinduzi
Morogoro,5,2,Morogoro Rural,Mkuyuni,Vitenvu
Kagera,18,3,Muleba,Kimwani,Kyaitoko
Dodoma,1,1,Kondoa,Mrijo,Polisi
Mbeya,12,6,Mbozi,Iyula,Navyongo
Kilimanjaro,3,3,Same,Kihurio,Changarawe B
Dodoma,1,4,Chamwino,Igandu,Mtima
Kigoma,16,2,Kigoma Rural,Mkigo,Mugwaga
Tabora,14,4,Urambo,Urambo,Urambo Kati
Mara,20,3,Musoma Rural,Kyanyari,Kihuzu
Mbeya,12,6,Mbozi,Ihanda,Nanyunyi
Shinyanga,17,5,Bukombe,Ikunguigazi,Ibambula C
Mwanza,19,4,Kwimba,Iseni,Mita
Tanga,4,2,Korogwe,Kerenge,Antakae
Morogoro,5,2,Morogoro Rural,Kolero,Sakamanzi
Arusha,2,3,Arusha Urban,Olorien,Mbeshere
Ruvuma,10,1,Tunduru,Marumba,Misri
Mwanza,19,6,Geita,Mwingiro,Busebi
Tanga,4,8,Mkinga,Maramba,Kiumbo
Singida,13,1,Iramba,Urughu,Semu
Morogoro,5,6,Mvomero,Mzumbe,Mnazi Mmoja
Lindi,80,23,Lindi Rural,Chiponda,Chiwambala
Pwani,6,2,Kibaha,Kwala,Waya
Mara,20,3,Musoma Rural,Kyanyari,Mkuyuni
Mwanza,19,6,Geita,Nyachiluluma,Nyandago
Pwani,60,43,Mkuranga,Bupu,Mbezi Ya Bupu
Manyara,21,2,Hanang,Mogitu,Mogitu.B.
Dodoma,1,4,Chamwino,Mlowa Bwawani,Kaunda
Ruvuma,10,1,Tunduru,Nampungu,Mwambao
Pwani,6,1,Bagamoyo,Chalinze,Bwilingu
Lindi,80,62,Lindi Rural,Ng'apa,Kumbaila
Dodoma,1,5,Dodoma Urban,Ngh'ong'ona,Siasa
Shinyanga,17,1,Bariadi,Somanda,Nyasosi B
Lindi,80,23,Lindi Rural,Mipingo,Lihimilo
Mtwara,90,63,Nanyumbu,Maratani,Majengo
Arusha,2,1,Monduli,Monduli Juu,Emurua
Tabora,14,3,Uyui,Ikongolo,Kapunze
Arusha,2,1,Monduli,Sepeko,Ngokumeni
Mwanza,19,2,Magu,Kisesa,Nyangh'Ulukulu
Kagera,18,3,Muleba,Karambi,Bushoko
Tanga,4,8,Mkinga,Maramba,Kambini
Mtwara,90,33,Masasi,Lulindi,Bondeni
Pwani,6,2,Kibaha,Soga,Vikugw
Singida,13,1,Iramba,Kinampanda,Mgogo
Arusha,2,5,Ngorongoro,Ngorongoro,Sumbati
Morogoro,5,1,Kilosa,Msowero,Kitongoji A
Dodoma,1,4,Chamwino,Manchali,Songambele
Ruvuma,10,3,Mbinga,Kilimani,Mkwaya Kati
Kigoma,16,1,Kibondo,Kasanda,Kumkwabule
Tanga,4,1,Lushoto,Gare,Ndekewe
Kagera,18,30,Ngara,Kirushya,Mtakuja
Kigoma,16,1,Kibondo,Nyabibuye,Mwiluzi
Rukwa,15,1,Mpanda,Mishamo,Ifumwe
Tanga,4,1,Lushoto,Soni,Migombani
Mara,20,3,Musoma Rural,Nyamimange,Central B
Kagera,18,2,Bukoba Rural,Ruhunga,Kobunshwi
Singida,13,2,Singida Rural,Dung'unyi,Nkungi
Singida,13,1,Iramba,Mbelekese,Masunkune A
Tabora,14,3,Uyui,Ibiri,Kategire
Kigoma,16,1,Kibondo,Mugunzu,Muhero
Ruvuma,10,5,Namtumbo,Rwinga,Rwinga B
Tabora,14,5,Sikonge,Kipili,Mtakuja
Morogoro,5,1,Kilosa,Rubeho,Mininga
Pwani,60,63,Mafia,Baleni,Madundani
Mara,20,1,Tarime,Nyarokoba,Byantang'Ana
Singida,13,4,Singida Urban,Mwankoko,Misuna
Kilimanjaro,3,4,Moshi Rural,Mbokomu,Mwanambeni
Shinyanga,17,8,Kishapu,Mondo,Wimate
Tanga,4,1,Lushoto,Malindi,Sabato
Singida,13,1,Iramba,Kiomboi,Kikaku
Shinyanga,17,6,Meatu,Mwanjoro,Isangijo A
Mtwara,90,33,Masasi,Lulindi,Chekecheani
Kigoma,16,3,Kigoma Rural,Mtego wa Noti,Katunguru
Kagera,18,1,Karagwe,Igurwa,Rwanse
Mbeya,12,6,Mbozi,Chilulumo,Sukutu
Kagera,18,1,Karagwe,Nkwenda,Rukuraijo A
Mwanza,19,2,Kwimba,Maligisu,Mwabuke
Tabora,14,3,Uyui,Isikizya,Fundikira
Dodoma,1,1,Kondoa,Mrijo,Majengo
Shinyanga,17,1,Bariadi,Bariadi,Buzunza
Morogoro,5,1,Kilosa,Chanzuru,Ilonga Juu
Kilimanjaro,3,3,Same,Mnyamba,Ndolwa
Mara,20,2,Serengeti,Manchira,Kazi
Lindi,80,23,Lindi Rural,Ngangamara,Mapinduzi
Morogoro,5,4,Ulanga,Mwaya,Chikei
Shinyanga,17,3,Shinyanga Rural,Mwantini,Mwamagobolo
Dodoma,1,1,Kondoa,Jangalo,Banda La Ngozi
Singida,13,2,Singida Rural,Puma,Maguka
Tabora,14,2,Igunga,Kining'inila,Masanga Mashariki
Mwanza,19,2,Magu,Kiloleli,Lukelege
Mwanza,19,2,Magu,Nkungulu,Mjini
Singida,13,2,Singida Rural,Mtinko,Ikumese
Kagera,18,1,Karagwe,Kihanga,Nyarutunga
Tanga,4,1,Lushoto,Bumbuli,Betania
Dar es Salaam,7,3,Temeke,Somangira,Sara
Kagera,18,8,Chato,Buziku,Rwantaba
Ruvuma,10,5,Namtumbo,Luchili,Misufini
Iringa,11,5,Ludewa,Lugarawa,Lusapo
Rukwa,15,3,Nkasi,Kate,Katola
Arusha,2,6,Longido,Engarenaibor,Lelek
Mbeya,12,3,Kyela,Makwale,Ibuliambwa
Rukwa,15,1,Mpanda,Utende,Mchakamchaka
Mtwara,90,33,Masasi,Sindano,Matola
Tabora,14,1,Nzega,Karitu,Igonda Matanga
Pwani,60,53,Rufiji,Kibiti,Dimani B
Rukwa,15,2,Sumbawanga Rural,Laela,Ndelema
Morogoro,5,1,Kilosa,Kilangali,Mikochini
Kilimanjaro,3,1,Rombo,Makiidi,Kiria A
Morogoro,5,1,Kilosa,Magubike,Chimale B
Lindi,80,23,Lindi Rural,Nyangao,Mtoni Sokoni
Mwanza,19,1,Ukerewe,Bukindo,Halwaya
Tabora,14,4,Urambo,Usisya,Izenga
Kagera,18,1,Karagwe,Kibondo,Kibira
Kagera,18,7,Misenyi,Nsunga,Kyampala
Kilimanjaro,3,4,Moshi Rural,Marangu Mashariki,Mkorongoni
Mbeya,12,6,Mbozi,Mlangali,Isela
Lindi,80,53,Ruangwa,Narungombe,Amani
Mbeya,12,3,Kyela,Matema,Busonjo
Ruvuma,10,1,Tunduru,Misechela,Lisomba
Mwanza,19,2,Magu,Kahangara,Ng`Washi
Tabora,14,4,Urambo,Uyumbu,Mlema
Kilimanjaro,3,3,Same,Ndungu,Masoroha
Morogoro,5,2,Morogoro Rural,Kisaki,Changani
Singida,13,2,Singida Rural,Makuro,Mwilimbi
Tanga,4,6,Handeni,Kwamsisi,Kwamboko
Singida,13,4,Singida Urban,Unyamikumbi,Ulihi
Shinyanga,17,5,Bukombe,Bukombe,Ikalanga
Shinyanga,17,6,Meatu,Sakasaka,Bukingwaminzi
Shinyanga,17,1,Bariadi,Chinamili,Mwabuyunge
Kagera,18,1,Karagwe,Kituntu,Kibugo
Dodoma,1,1,Mpwapwa,Massa,Madong'A
Shinyanga,17,3,Kahama,Ukune,Itonja M
Shinyanga,17,1,Bariadi,Sagata,Busulwa
Mwanza,19,4,Kwimba,Kikubiji,Mwakabuli
Singida,13,1,Iramba,Ibaga,Milunduli
Kagera,18,3,Muleba,Ikondo,Bulengansi
Ruvuma,10,4,Songea Urban,Mfaranyaki,Majimaji
Tanga,4,3,Muheza,Songa,Kwakibuyu
Ruvuma,10,5,Namtumbo,Msindo,Kipungu
Manyara,21,2,Hanang,Nangwa,Gileni
Lindi,80,13,Kilwa,Kinjumbi,Pungutini
Mara,20,3,Musoma Rural,Nyamrandirira,Songa Mbele
Kilimanjaro,3,7,Siha,Siha Mashariki,Maweni B
Morogoro,5,4,Ulanga,Malinyi,Ngandula
Mwanza,19,5,Sengerema,Kasungamile,Kisesa A
Kigoma,16,1,Kibondo,Kakonko,Kumtukula
Rukwa,15,2,Sumbawanga Rural,Mwazye,Kanyalakata
Tanga,4,1,Lushoto,Mlalo,Ushilika
Mara,20,3,Musoma Rural,Etaro,Seka
Shinyanga,17,5,Bukombe,Uyovu,Nyantale
Arusha,2,2,Arusha Rural,Ilkiding'a,Kisongo Juu
Arusha,2,5,Ngorongoro,Soit Sambu,Mairowa
Kilimanjaro,3,2,Mwanga,Kighare,Ndeme Magharibi
Dodoma,1,6,Bahi,Mundemu,Maduka
Kagera,18,2,Bukoba Rural,Izimbya,Ndayanjoju
Mbeya,12,7,Mbarali,Igurusi,Majengo Mapya A
Rukwa,15,1,Mpanda,Mtapenda,Tag Msaginya
Tabora,14,5,Sikonge,Tutuo,Kiloleni B
Mara,20,3,Musoma Rural,Nyankanga,Kyamakiri
Ruvuma,10,1,Tunduru,Mtina,Katimbe
Pwani,6,6,Mafia,Kirongwe,Vuleni
Shinyanga,17,3,Kahama,Isagehe,Itembe
Kagera,18,30,Ngara,Kirushya,Mubisumizi
Singida,13,1,Iramba,Ibaga,Mizuzu
Kagera,18,8,Chato,Bukome,Nyabilezi A
Shinyanga,17,6,Meatu,Sakasaka,Igoma
Rukwa,15,2,Sumbawanga Rural,Kasanga,Ngorotwa A
Kilimanjaro,3,7,Siha,Siha Magharibi,Majengo
Singida,13,2,Singida Rural,Kinyeto,Maumbahi
Dodoma,1,1,Mpwapwa,Mazae,Kilimani
Shinyanga,17,2,Maswa,Lalago,Kayenza
Arusha,24,30,Karatu,Karatu,Maliyasili
Singida,13,2,Singida Rural,Siuyu,Misimbwa
Rukwa,15,1,Mpanda,Kabungu,Milala B
Mbeya,12,2,Mbeya Rural,Bonde la Songwe,Intake
Mtwara,90,33,Masasi,Chiugutwa,Ofisini
Tabora,14,4,Urambo,Vumilia,Tujilinde
Singida,13,2,Singida Rural,Issuwa,Zanzibar
Mtwara,9,4,Tandahimba,Chaume,Luheya
Shinyanga,17,1,Bariadi,Sapiwi,Mwanunda
Kagera,18,1,Karagwe,Kihanga,Bugerelo
Kagera,18,8,Chato,Muganza,Ichaguliro Centre
Mara,20,3,Musoma Rural,Muriaza,Kwigina
Mwanza,19,1,Ukerewe,Bwiro,Jiwekuu
Kagera,18,3,Muleba,Magata/Karutanga,Ruhanga
Morogoro,5,2,Morogoro Rural,Mngazi,Mji Mkuu
Ruvuma,10,1,Tunduru,Marumba,Nakawea
Dodoma,1,5,Dodoma Urban,Mbalawala,Chinzachi
Tabora,14,4,Urambo,Milambo,Barabara 3C
Arusha,2,7,Meru,Poli,Nkura
Dodoma,1,0,Mpwapwa,Matomondo,Sangandunghu
Tanga,4,1,Lushoto,Vuga,Mangula
Kagera,18,1,Karagwe,Kaisho,Nyakanyasi A
Rukwa,15,4,Sumbawanga Urban,Matanga,Lyangalile
Mwanza,19,4,Kwimba,Mantare,Ishingisha A
Mwanza,19,2,Magu,Mwamabanza,Ntinda
Tabora,14,2,Igunga,Chabutwa,Maendeleo
Manyara,21,1,Babati,Magugu,Mbugani
Mwanza,19,4,Kwimba,Lyoma,Sanga
Mara,20,1,Tarime,Muriba,Kumwika
Ruvuma,10,5,Namtumbo,Mgombasi,Selous
Shinyanga,17,5,Bukombe,Ikunguigazi,Ibambula
Tabora,14,2,Igunga,Nanga,Shuleni
Singida,13,1,Iramba,Mwangaza,Mzanga
Mwanza,19,6,Geita,Chigunga,Nyakaflo
Mwanza,19,4,Kwimba,Mwang'halanga,Mwamagangati
Arusha,2,5,Ngorongoro,Soit Sambu,Soitsambu
Kagera,18,2,Bukoba Rural,Izimbya,Kitoro
Dodoma,1,6,Bahi,Mwitikira,Mkombi
Tanga,4,4,Tanga,Chongoleani,Mbuyuni
Dodoma,1,5,Dodoma Urban,Hombolo,Nyika
Dodoma,1,1,Kondoa,Sanzawa,Bilisee
Lindi,80,53,Ruangwa,Nambilanje,Gulioni
Dodoma,1,1,Mpwapwa,Chunyu,Misheni
Manyara,21,5,Kiteto,Engusero,Mabuluu
Shinyanga,17,3,Kahama,Chona,Ishila B
Mara,20,3,Musoma Rural,Buhemba,Malezi
Mbeya,12,6,Mbozi,Itaka,Hasare
Kagera,18,30,Ngara,Mabawe,Murugina
Mara,20,2,Serengeti,Natta,Majengo
Rukwa,15,1,Mpanda,Utende,Mwenge
Pwani,6,4,Mkuranga,Nyamato,Milondondo
Shinyanga,17,2,Maswa,Nyabubinza,Mashiambiti
Mtwara,90,33,Masasi,Namalenga,Magogo Sita
Mwanza,19,6,Geita,Mwingiro,Mraba
Singida,13,4,Singida Urban,Unyamikumbi,Ikenga
Iringa,11,1,Iringa Rural,Izazi,Chapuya
Kagera,18,2,Bukoba Rural,Ruhunga,Bituntu
Shinyanga,17,8,Kishapu,Talaga,Talaga
Kagera,18,3,Muleba,Ruhanga,Milele
Mbeya,12,7,Mbarali,Chimala,Msanga
Mwanza,19,6,Geita,Mtakuja,Kibondo
Lindi,8,3,Nachingwea,Kiegei,Kiegei Kati
Kagera,18,1,Karagwe,Ndama,Nyabwegira B
Kagera,18,1,Karagwe,Igurwa,Chanya
Kagera,18,3,Muleba,Kashasha,Kigabiro
Kilimanjaro,3,4,Moshi Rural,Kibosho Kati,Saa
Tanga,4,2,Korogwe,Magoma,Alhamisi
Iringa,11,7,Kilolo,Ukumbi,Kichangani B
Mwanza,19,6,Geita,Busolwa,Ndelwe
Tabora,14,1,Nzega,Mogwa,Ikobanhwi
Pwani,6,1,Bagamoyo,Chalinze,Ccm
Kigoma,16,1,Kibondo,Rugongowe,Kumekucha
Mtwara,90,63,Nanyumbu,Mikangaula,Bombambili
Lindi,8,3,Nachingwea,Ndomoni,Polisi
Tanga,4,3,Muheza,Kicheba,Kwasefungo
Shinyanga,17,1,Bariadi,Chinamili,Nyabubere
Singida,13,1,Iramba,Iguguno,Reli
Tabora,14,2,Igunga,Nyandekwa,Inala
Kilimanjaro,3,2,Mwanga,Kilomeni,Kwamba
Shinyanga,17,8,Kishapu,Ukenyenge,Ikonda
Morogoro,5,1,Kilosa,Gairo,Majembwa
Shinyanga,17,3,Kahama,Uyogo,Kalama Magharibi
Kagera,18,8,Chato,Bukome,Isegenhe
Kagera,18,1,Karagwe,Ihanda,Chonyonyo A
Singida,13,1,Iramba,Kaselya,Ndala Juu
Rukwa,15,2,Sumbawanga Rural,Muze,Mtakuja
Dar es Salaam,7,3,Temeke,Somangira,Kasikazini
Mbeya,12,2,Mbeya Rural,Utengule Usongwe,Wambilo
Kigoma,16,1,Kibondo,Kazazi,Kafwandi
Lindi,80,53,Ruangwa,Makanjiro,Ndalala
Dodoma,1,5,Dodoma Urban,Nala,Nghambala
Shinyanga,17,8,Kishapu,Bugoro,Butunga
Mara,20,2,Serengeti,Manchira,Kubiha
Rukwa,15,4,Sumbawanga Urban,Katandala,Katandara
Tabora,14,5,Sikonge,Kitunda,Majengo
Singida,13,3,Manyoni,Isseke,Tambara
Singida,13,3,Manyoni,Manyoni,Kipondoda B
Shinyanga,17,2,Maswa,Nyabubinza,Mwamalangwa
Dodoma,1,1,Mpwapwa,Wotta,Isalavanu
Morogoro,5,6,Mvomero,Kibati,Mdukani
Shinyanga,17,5,Bukombe,Runzewe,Nyamvubuka A
Singida,13,4,Singida Urban,Mandewa,Mamise
Rukwa,15,2,Sumbawanga Rural,Mambwekenya,Kazumba
Mwanza,19,5,Sengerema,Katunguru,Nyankolongo
Ruvuma,10,1,Tunduru,Kalulu,Muungano
Rukwa,15,1,Mpanda,Kasokola,Magharibi A
Morogoro,5,2,Morogoro Rural,Bwakila Chini,Mgudeni
Arusha,24,30,Karatu,Qurus,Athni Mwisho
Shinyanga,17,3,Kahama,Isagehe,Izengwa
Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Magharibi,Tela
Morogoro,5,2,Morogoro Rural,Kolero,Kivumba
Morogoro,5,4,Ulanga,Lupiro,Milolakati
Kagera,18,4,Biharamulo,Biharamulo Urban,Sekondari
Kilimanjaro,3,4,Moshi Rural,Uru Kusini Mawela,Mawela
Dodoma,1,1,Mpwapwa,Kimagai,Ubenani
Mwanza,17,1,Magu,Nkungulu,Nyamiselia
Shinyanga,17,1,Bariadi,Mhunze,Nangale
Kigoma,16,1,Kibondo,Kitahana,Kirundo C
Kilimanjaro,3,3,Same,Njoro,Kigogo
Mwanza,19,5,Sengerema,Katwe,Kasheka Center
Arusha,2,3,Arusha Urban,Engutoto,Kambarage
Mbeya,12,3,Kyela,Katumbasongwe,Busetuka
Mwanza,19,4,Kwimba,Hungumalwa,Mwanza Mangombe
Lindi,80,23,Lindi Rural,Nangaru,Msikitini
Shinyanga,17,3,Shinyanga Rural,Salawe,Bea
Manyara,21,4,Simanjiro,Naberera,Ndovu
Shinyanga,17,1,Bariadi,Nkololo,Mwazena
Singida,13,2,Singida Rural,Mtinko,Matundi
Iringa,11,4,Njombe,Lupembe,Lung'Angana
Lindi,8,3,Nachingwea,Mtua,Shuleni
Tabora,14,1,Nzega,Nzega ndogo,Idanda
Mwanza,19,5,Sengerema,Katunguru,Kabingo
Mwanza,17,1,Magu,Nkungulu,Busumagu
Kigoma,16,4,Kigoma Urban,Rubuga,Kasingilimi
Mbeya,12,4,Rungwe,Kandete,Kabula
Kagera,18,3,Muleba,Bulyakashaju,Omumishenye
Tabora,14,1,Nzega,Mbogwe,Misana
Mwanza,19,6,Geita,Nyakamwaga,Songambele
Mwanza,19,6,Geita,Kalangalala,Ilungwe
Kagera,18,1,Karagwe,Kyerwa,Chakumbagaire
Singida,13,1,Iramba,Gumanga,Mpogolo
Morogoro,5,1,Kilosa,Msowero,Mvumi B
Tanga,4,1,Lushoto,Gare,Tongoi
Mwanza,19,2,Magu,Mkula,Malandala B
Ruvuma,10,5,Namtumbo,Namabengo,Majimaji
Dodoma,1,1,Kondoa,Mondo,Bambai
Pwani,6,4,Mkuranga,Nyamato,Nyakazolo
Dodoma,1,6,Bahi,Lamaiti,Chemch
Tanga,4,8,Mkinga,Daluni,Magangani
Dodoma,1,1,Kondoa,Goima,Dinda
Manyara,21,3,Mbulu,Bashay,Simhha
Morogoro,5,1,Kilosa,Mabwerebwere,Rombwe
Mwanza,19,1,Ukerewe,Bukindo,Nakabungo
Kagera,18,8,Chato,Ilemela,Nyang'Homango
Dodoma,1,1,Kondoa,Pahi,Lusaka
Manyara,21,1,Babati,Ufana,Maganadish
Kagera,18,2,Bukoba Rural,Kaibanja,Rugashi
Manyara,21,1,Babati,Riroda,Barisii
Iringa,11,3,Makete,Bulongwa,Utege
Tabora,14,4,Urambo,Urambo,Urambo
Mwanza,19,6,Geita,Busolwa,Mwiza
Mtwara,9,4,Tandahimba,Chingungwe,Sokoni
Singida,13,1,Iramba,Gumanga,Lutang'Ombe
Shinyanga,17,3,Kahama,Kinamapula,Shinyanga
Pwani,60,53,Rufiji,Ikwiriri,Umwe Kati
Singida,13,2,Singida Rural,Ilongero,Tambuko
Tabora,14,1,Nzega,Miguwa,Ukondamoyo B
Arusha,24,30,Karatu,Mang'ola,Nrangareni
Pwani,6,1,Bagamoyo,Magomeni,Razaba
Ruvuma,10,1,Tunduru,Mbesa,Nazareti
Pwani,60,53,Rufiji,Ikwiriri,Siasa
Tanga,4,8,Mkinga,Maramba,Lungalunga
Kigoma,16,2,Kasulu,Muzye,Kumubundu
Pwani,6,4,Mkuranga,Kisiju,Tutani
Iringa,11,3,Makete,Mlondwe,Mengele
Tanga,4,1,Lushoto,Lunguza,Kimbai
Arusha,2,5,Ngorongoro,Nainokanoka,Bulati
Mbeya,12,6,Mbozi,Kamsamba,Mpapa Kati
Mara,20,2,Serengeti,Kebanchabancha,Mtanka
Singida,13,1,Iramba,Ibaga,Ilangida
Dodoma,1,6,Bahi,Makanda,Kabodi
Singida,13,1,Iramba,Ibaga,Mizuhuu
Rukwa,15,2,Sumbawanga Rural,Sandulula,Maweni
Shinyanga,17,2,Maswa,Nyalikungu,Badabada
Mbeya,12,2,Mbeya Rural,Bonde la Songwe,Muungano
Shinyanga,17,6,Meatu,Lingeka,Mwamakoye
Ruvuma,10,5,Namtumbo,Mkongo,Mabatini
Mwanza,19,6,Geita,Kharumwa,Nyemhela
Ruvuma,10,3,Mbinga,Myangayanga,Mtindi
Mara,20,3,Musoma Rural,Kukirango,Murutu
Mtwara,90,33,Masasi,Lukulendi,Matankini
Tabora,14,3,Uyui,Loya,Kagera
Dodoma,1,5,Dodoma Urban,Mbalawala,Matangizi
Lindi,80,53,Ruangwa,Nambilanje,Bomani
Iringa,11,4,Njombe,Mtwango,Ngabena
Tabora,14,3,Uyui,Mabama,Maswanya Mashariki
Ruvuma,10,4,Songea Rural,Lilambo,Mnzimmoja
Dar es Salaam,7,3,Temeke,Mji Mwema,Mitimifu
Kagera,18,3,Muleba,Muleba,Bomani
Shinyanga,17,5,Bukombe,Iyogela,Bugelenga Centre
Lindi,80,23,Lindi Rural,Nyengedi,Nyengedi
Ruvuma,10,1,Tunduru,Matemanga,Kung'Unde
Mtwara,9,4,Tandahimba,Mdimba Mnyoma,Mingoyo
Singida,13,2,Singida Rural,Sepuko,Maiyuda B
Arusha,2,1,Monduli,Esilalei,Korea
Mwanza,19,6,Geita,Chigunga,Bulumbi
Iringa,11,3,Makete,Lupalilo,Kidimilo
Mbeya,12,1,Chunya,Mafyeko,Mafyeko A
Tanga,4,5,Pangani,Madanga,Madanga Ng'Ambo
Rukwa,15,4,Sumbawanga Urban,Old Sumbawanga,Chemka
Mwanza,19,2,Magu,Malili,Mission
Mtwara,90,33,Newala,Chilangala,Chiwata
Tanga,4,2,Korogwe,Mazinde,Shuleni
Mara,20,2,Serengeti,Rung'bure,Machoka
Morogoro,5,6,Mvomero,Sungaji,Legezamwendo
Shinyanga,17,3,Kahama,Isagehe,Isagehe
Mtwara,90,33,Newala,Luchingu,Pachoto
Mbeya,12,6,Mbozi,Mlowo,Serewa
Kagera,18,8,Chato,Ilemela,Nyitundu
Shinyanga,17,1,Bariadi,Lugulu,Bunamhala B
Mbeya,12,6,Mbozi,Isansa,Majiwe
Pwani,6,4,Mkuranga,Nyamato,Pundi
Kagera,18,30,Ngara,Kibimba,Kuchivuziga
Shinyanga,17,5,Bukombe,Mbogwe,Songambele
Kilimanjaro,3,1,Rombo,Kitirima Kingachi,Umarini
Mbeya,12,2,Mbeya Rural,Ilembo,Mafune
Shinyanga,17,3,Kahama,Idahina,Mwabomba
Pwani,60,63,Mafia,Baleni,Ngwena
Mbeya,12,6,Mbozi,Iyula,Nonde
Iringa,11,7,Kilolo,Ilula,Kisagwa
Shinyanga,17,5,Bukombe,Ushirombo,Silamila C
Lindi,8,3,Nachingwea,Naipanga,Chiwindi
Mwanza,19,1,Ukerewe,Igalla,Nambodhu
Pwani,6,3,Kisarawe,Vihingo,Sangwe
Kagera,18,3,Muleba,Ikondo,Byahi
Ruvuma,10,2,Songea Rural,Tanga,Mlinguli B
Morogoro,5,1,Kilosa,Dumila,Nameloko
Mara,20,1,Tarime,Nyarero,Nyamatarabe
Mtwara,90,63,Nanyumbu,Likokona,Msikitini
Morogoro,5,3,Kilombero,Mlimba,Mjimwema
Dodoma,1,5,Dodoma Urban,Mkonze,Chidachi
Morogoro,5,1,Kilosa,Kibedya,Mnafu
Dodoma,1,6,Bahi,Lamaiti,Miondo
Kagera,18,1,Karagwe,Kibondo,Rwaramba
Lindi,80,62,Lindi Rural,Ng'apa,Msikitini
Rukwa,15,3,Nkasi,Mtenga,Ilegeza
Mara,20,1,Tarime,Nyarokoba,Nyamemange
Tabora,14,1,Nzega,Kahamanhalaga,Mwamakumbai A
Shinyanga,17,6,Meatu,Mwanjoro,Buhangija
Singida,13,2,Singida Rural,Ntuntu,Nughumbu
Singida,13,4,Singida Urban,Mwankoko,Maghogho
Shinyanga,17,1,Bariadi,Nkoma,Mwakimishi
Ruvuma,10,2,Songea Rural,Kilagano,Chuki Si Mali
Kagera,18,4,Biharamulo,Lusahunga,Kaserebuka
Kagera,18,7,Misenyi,Kassambya,Kitwe
Kigoma,16,2,Kasulu,Munzenze,Butugala
Mbeya,12,5,Ileje,Kafule,Kabale
Shinyanga,17,3,Kahama,Segese,Kasenge
Kigoma,16,3,Kigoma Urban,Kitongoni,Jitegeme
Iringa,11,4,Njombe,Imalinyi,Hingilo
